Model name,PRECISION_CROSS_VAL,PRECISON_STD,RECALL_CROSS_VAL,RECALL_STD,BALANCED_ACC_CROSS_VALL,BALANCED_ACC_STD,K,PRECISION AT K CROSS_VAL,PRECISION AT K STD,RECALL AT K CROSS_VAL,RECALL AT K STD
KNN Cross_Val,0.28377,0.00092,0.78491,0.00425,0.75409,0.00196,20000,0.29501,0.00264,0.6316,0.0
Linear model Cross_Val,0.24999,0.00035,0.97564,0.00111,0.78338,0.00058,20000,0.31159,0.00287,0.66712,0.0
Random forrest Cross_Val,0.31359,0.00203,0.76116,0.00558,0.76422,0.00281,20000,0.32311,0.00225,0.69178,0.0
Extra trees Cross_Val,0.30929,0.00179,0.77313,0.00472,0.76598,0.00238,20000,0.32162,0.0025,0.68859,0.0
XGBoost Cross_Val,0.30517,0.00125,0.84335,0.00449,0.78756,0.0012,20000,0.33013,0.002,0.70681,0.0
